five_digit_FIPS_code,Total People with Insurance
20159,9661
20185,4131
20113,28121
20139,15683
20071,1180
20031,8224
20037,38465
20051,28655
20073,6128
20099,20228
20107,9541
20173,504644
20175,22750
20157,4610
20065,2532
20091,574871
20045,117121
20179,2471
20121,32390
20069,5919
20199,1571
20017,2569
20189,5630
20201,5435
20203,2130
20019,3368
20129,2847
20137,4720
20155,60842
20009,26652
20029,8951
20043,7666
20047,2849
20081,4024
20101,1694
20165,3051
20171,4884
20115,11720
20133,16001
20013,9664
20143,5869
20147,5345
20161,68618
20007,4864
20039,2808
20041,18773
20087,18597
21097,18424
21031,12521
21223,8674
21061,11969
21105,4463
21023,8296
21143,6895
21179,44838
21231,20408
21135,13421
21155,18573
21221,14215
21239,25675
21015,126397
21131,10376
21113,51100
21121,31073
21127,15735
21133,22833
21139,9229
21145,64106
21195,60871
21211,44672
21235,35396
21005,21912
21027,19719
21071,36943
21073,49196
21117,162466
21147,16203
21151,87531
21153,12658
21169,9891
21189,4422
21205,24171
21213,17536
21217,25008
21049,35343
21219,12137
21039,4821
21041,10411
21053,10055
21065,14260
21077,8542
21079,17123
21089,35605
21069,14515
21037,90204
21043,27077
21063,6294
21081,24372
21111,756073
21123,13821
21141,26559
21161,16858
21167,21209
21191,14433
21201,2099
21207,17563
21215,17887
21229,11873
21011,12099
21007,8034
21009,42693
21021,28415
21087,10924
21091,8653
21095,27072
21159,10748
21093,102841
21137,24178
21149,9265
21171,10510
21183,23720
21197,12096
21225,14748
21233,12851
21033,12629
21035,38206
21045,15462
21047,63103
21059,97254
21085,25803
21101,45303
21103,15598
21107,44962
21109,13261
21125,59108
21157,30628
21163,27457
21173,27222
21181,6964
21185,60638
21187,10628
21203,16524
21209,52042
21227,122496
21003,20433
21017,19795
21019,46524
21029,78282
21055,8952
21067,309986
21075,5841
21115,22595
21119,15525
21165,6306
21175,11636
21177,30321
21193,26713
21199,63214
21237,7119
21051,19352
21001,19031
21013,26625
21025,13134
21057,6656
21083,36866
21099,18265
21129,6087
23009,54028
23017,56902
23015,33533
23027,39073
23019,150671
23021,16824
23001,106275
23003,67685
23029,31231
23005,285941
23013,38577
23023,35015
23031,199598
23011,119783
23007,30019
23025,50499
22113,59402
22089,52057
22057,97260
22029,18164
22107,4753
22125,12074
22053,30901
22093,21275
22043,18907
22051,433725
22011,35941
22013,13478
22015,119547
22023,6779
22037,16358
22095,42910
22075,22467
22073,150783
22079,129374
22117,44595
22097,82485
22105,128049
22001,61694
22101,51764
22123,10683
22103,246763
22111,22046
22021,9443
22017,246699
22035,4991
22005,118306
22055,236010
22039,32192
22045,72549
22061,46893
22087,44760
22091,10367
22119,39092
22121,24763
22031,26970
22047,29690
22081,8586
22063,136051
22067,25514
22069,38338
22071,382251
22109,111739
22025,9017
22019,196471
22027,14313
22041,19059
22009,37485
22007,22676
22049,14713
22033,443233
22077,22144
22083,19793
22099,53363
22115,46516
22127,12833
22085,23761
22003,21250
22065,9978
25025,773850
25001,211589
25007,17167
25017,1567310
25003,125512
25005,550584
25013,463854
25023,502122
25009,768666
25011,70141
25021,685970
25027,806244
25015,159836
25019,10857
24047,50884
24510,610390
24039,21825
24041,37054
24025,247295
24001,67219
24027,309281
24033,898512
24003,543507
24005,820479
24021,243766
24009,89636
24023,29037
24029,19316
24031,1030760
24013,165274
24035,48540
24037,108087
24017,152781
24019,31971
24043,141198
24045,100725
24015,101361
24011,32405
26021,153834
26129,20680
26135,8259
26165,32681
26039,13633
26037,76718
26043,25359
26057,37029
26063,31373
26065,284407
26091,95362
26105,28496
26109,23086
26117,60500
26113,14875
26149,60356
26147,158541
26159,74699
26161,356361
26011,15095
26015,59258
26027,51274
26071,11006
26019,17273
26143,23717
26153,8004
26163,1751580
26023,41414
26055,89528
26075,151193
26097,10739
26049,408548
26009,22964
26061,35905
26093,186088
26069,24993
26085,11323
26101,23191
26119,9189
26141,12714
26051,25149
26077,257882
26107,42952
26103,65202
26123,47376
26133,22961
26137,24057
26025,132656
26031,25152
26095,5393
26081,632099
26099,857360
26145,190465
26155,68206
26013,6746
26017,104405
26029,25894
26045,107901
26041,36001
26053,14144
26047,32649
26033,34430
26115,148683
26005,113378
26125,1235853
26059,45501
26003,8268
26121,167878
26127,26144
26089,21414
26087,86704
26035,30258
26151,41212
26083,2129
26073,70040
26131,6009
26139,278888
26157,52721
26001,10317
26007,28378
26067,60417
26079,17306
26111,82891
27167,6252
27125,3995
27001,15658
27027,61544
27043,13679
27101,8284
27045,20478
27067,41915
27075,10406
27119,30971
27133,9199
27135,15347
27143,14761
27155,3270
27165,10805
27005,33166
27053,1215746
27011,4914
27015,24904
27023,11852
27021,28565
27029,8726
27049,45330
27057,20636
27059,38272
27063,9983
27091,19869
27099,38978
27105,21565
27115,27445
27109,149834
27033,11246
27139,139907
27039,20347
27157,21311
27117,9073
27035,62776
27107,6460
27171,130369
27103,33280
27041,36494
27051,5877
27069,4247
27079,27649
27087,5468
27025,52907
27127,15166
27173,9762
27153,24244
27007,45331
27013,65163
27055,18497
27073,6720
27077,3788
27111,57121
27161,17788
27137,197117
27003,342522
27145,154153
27037,412826
27081,5558
27083,25490
27089,9334
27095,25179
27129,14502
27163,247714
27017,34371
27031,5230
27065,15801
27071,12606
27093,22799
27097,32542
27113,13991
27131,62714
27147,36230
27141,90017
27159,13332
27009,38826
27019,98533
27047,30158
27061,44429
27085,35548
27121,10753
27123,533696
27149,9674
27151,9321
27169,50486
28045,46072
22059,13529
28125,4531
28139,21892
28019,8243
28035,75208
28057,23212
28071,52240
28055,1046
28059,139838
28087,57746
28083,29613
28143,10156
28157,8027
28021,9052
28047,193081
28065,11531
28127,26635
28075,75234
28085,33975
28123,28149
28159,18074
28163,23438
28007,18426
28009,8234
28037,7693
28027,24009
28061,16455
28067,67585
28147,14535
28095,35523
28115,30829
28133,23227
28155,9783
28003,36753
28001,29135
28025,19729
28033,172433
28031,18927
28053,8591
28013,14429
28051,18113
28005,12470
28089,101092
28091,24698
28141,19241
28153,20336
28041,10482
28093,34688
28119,7376
28011,32422
28073,59764
28081,83914
28113,39154
28135,10653
28129,16028
28131,17352
28149,47059
28023,16035
28069,9557
28097,10186
28105,49024
28099,29025
28109,54137
28079,22216
28103,10743
28121,144422
28137,27857
28151,47575
28077,12648
28107,34024
28111,11962
28161,12241
28017,17021
28015,10062
28029,28599
28039,23091
28043,21023
28049,240702
28063,7018
28101,21267
28145,27957
28117,25105
29091,39727
29035,6221
29057,7444
29115,12156
29101,50163
29105,35130
29125,8850
29161,44040
29165,95953
29187,59613
29510,310171
29003,17156
29023,42166
29033,8818
29061,8097
29087,4384
29103,3905
29181,13750
29127,28031
29139,11292
29151,13472
29207,29208
29219,33380
29221,23855
29007,23867
29043,82583
29063,9060
29077,282952
29081,8397
29107,32169
29185,9144
29001,25129
29197,4398
29199,4786
29211,6239
29029,44391
29045,6714
29097,117521
29099,220994
29111,9883
29119,22584
29143,17674
29157,18824
29167,30941
29173,10145
29177,22593
29209,31200
29179,6216
29189,987505
29201,38369
29009,35100
29011,11822
29019,173247
29039,13721
29051,72770
29055,24074
29073,14507
29093,9953
29117,13830
29121,15047
29135,14549
29149,10653
29155,17170
29159,41611
29186,17676
29203,8207
29175,22953
29067,13275
29069,30233
29071,101627
29083,21577
29089,10019
29095,681702
29109,37556
29131,24636
29169,39627
29171,4788
29213,53887
29215,24269
29021,86315
29025,8853
29027,42166
29037,101062
29049,20026
29053,16047
29059,16240
29075,6535
29085,9273
29113,54290
29133,12182
29137,8572
29145,57590
29153,9273
29163,16253
29183,383181
29129,3612
29123,12042
29229,18111
29047,234562
29217,20180
29065,15389
29195,22549
29147,21906
29227,1996
29041,7363
29079,9936
29141,19735
29223,13239
29017,12262
29031,76859
29205,5870
29225,36636
29005,5248
29013,16098
29015,18717
30017,11674
30041,16337
30015,5766
30103,790
30071,4098
30075,1579
30053,19068
30067,15909
30085,10988
30005,6550
30051,2224
30097,3623
30083,11405
30099,5976
30079,1307
30101,4389
30035,13551
30025,2856
30019,1760
30095,9296
30037,747
30045,1965
